timestamp,type,close,average20,average40,shares,amount
Wed Jan 12 2022 13:15,SELLZERO,3432,3446.017499999999,3446.49125,-1,3390.8499999999995
Wed Jan 12 2022 11:30,BUY,3440,3437.5024999999996,3442.5774999999994,0,-49.150000000000546
Tue Jan 11 2022 13:45,SELLZERO,3436,3436.88,3439.6387499999996,-1,3386.8499999999995
Tue Jan 11 2022 13:30,BUY,3439.95,3437.9275000000002,3439.2387500000013,0,-53.100000000000364
Tue Jan 11 2022 13:15,SELLZERO,3438,3438.4524999999994,3438.8612500000004,-1,3384.8999999999996
Tue Jan 11 2022 11:30,BUY,3440.5,3436.345,3435.3774999999996,0,-55.600000000000364
Tue Jan 11 2022 10:30,BUYZERO,3436.9,3435.8,3434.9862499999995,1,-3492.5000000000005
Tue Jan 11 2022 10:15,SELL,3433.15,3435.62,3434.9725,0,-59.350000000000364
Tue Jan 11 2022 09:45,BUYZERO,3437.7,3435.3175,3435.0074999999997,1,-3497.05
Tue Jan 11 2022 09:30,SELL,3432.5,3435.1425000000004,3435.0199999999995,0,-64.55000000000018
Mon Jan 10 2022 14:45,SELLZERO,3433,3434.5924999999997,3436.2599999999998,-1,3368.45
Mon Jan 10 2022 13:45,BUY,3437,3433.9574999999995,3435.9474999999993,0,-68.55000000000018
Mon Jan 10 2022 13:15,SELLZERO,3431.95,3434.425,3435.685,-1,3363.3999999999996
Mon Jan 10 2022 13:00,BUY,3438.9,3434.6549999999997,3435.6524999999992,0,-75.50000000000045
Mon Jan 10 2022 11:45,SELLZERO,3432.45,3435.285,3435.5425000000005,-1,3356.9499999999994
Mon Jan 10 2022 11:30,BUY,3442.05,3435.7299999999996,3435.675,0,-85.10000000000082
Mon Jan 10 2022 11:15,BUYZERO,3437.5,3436.0800000000004,3435.63125,1,-3522.600000000001
Mon Jan 10 2022 10:00,SELL,3431.6,3437.2050000000004,3436.0724999999998,0,-91.00000000000091
Mon Jan 10 2022 09:45,BUYZERO,3445,3437.8050000000003,3436.1987499999996,1,-3536.000000000001
Mon Jan 10 2022 09:15,SELL,3423.9,3437.8324999999995,3435.8487499999997,0,-112.10000000000082
Fri Jan 07 2022 15:00,SELLZERO,3396.6,3433.8425,3433.9000000000005,-1,3284.499999999999
Fri Jan 07 2022 11:15,BUY,3400,3398.47,3417.8375,0,-115.50000000000091
Thu Jan 06 2022 14:30,SELLZERO,3388.9,3403.4449999999997,3410.3812499999995,-1,3273.399999999999
Thu Jan 06 2022 10:45,BUY,3390.4,3390.21,3394.3612499999995,0,-117.00000000000091
Thu Jan 06 2022 10:30,SELLZERO,3379.7,3388.0625,3394.1674999999996,-1,3262.699999999999
Tue Jan 04 2022 12:15,BUY,3310.8,3310.2774999999992,3328.8237499999996,0,-48.10000000000127
Tue Jan 04 2022 11:45,SELLZERO,3307,3307.2699999999995,3327.1762499999995,-1,3258.8999999999987
Tue Jan 04 2022 11:30,BUY,3307.1,3305.5200000000004,3325.8899999999994,0,-48.20000000000118
Tue Jan 04 2022 09:45,SELLZERO,3300.95,3303.1974999999998,3318.1012500000006,-1,3252.7499999999986
Mon Jan 03 2022 10:45,BUY,3283,3280.8175,3291.7100000000005,0,-30.250000000001364
Mon Jan 03 2022 10:30,SELLZERO,3272.15,3279.625,3291.1675000000005,-1,3241.8999999999987
Fri Dec 31 2021 13:00,BUY,3264.6,3263.2925,3274.1587499999996,0,-22.700000000001182
Fri Dec 31 2021 12:45,SELLZERO,3257,3262.3824999999997,3272.97,-1,3234.299999999999
Fri Dec 31 2021 11:00,BUY,3255.1,3254.37,3266.6637500000006,0,-20.80000000000109
Fri Dec 31 2021 10:45,SELLZERO,3243.6,3253.4075,3265.8787500000003,-1,3222.799999999999
Thu Dec 30 2021 11:00,BUY,3207.15,3206.39,3228.65,0,15.649999999998727
Thu Dec 30 2021 10:30,SELLZERO,3202,3204.225,3226.1949999999997,-1,3217.6499999999987
Thu Dec 30 2021 10:15,BUY,3204.65,3204.4175000000005,3225.0612499999997,0,12.999999999998636
Thu Dec 30 2021 10:00,SELLZERO,3199.95,3204.255,3223.8349999999996,-1,3212.9499999999985
Thu Dec 30 2021 09:45,BUY,3207.6,3204.585,3222.72625,0,5.349999999998545
